史跡等の名称,住所,説明,写真URL(昔),写真URL(今),緯度,経度
しぇあひるず,神奈川県横浜市神奈川区高島台1-5,イベント会場,https://scontent.xx.fbcdn.net/hphotos-xfp1/t31.0-8/12491779_1071369469561405_3818853312162443034_o.jpg,https://scontent.xx.fbcdn.net/hphotos-xaf1/t31.0-8/12466168_1071371526227866_978231686378425023_o.jpg,35.472020834262,139.62539970875
カメヤ食堂,神奈川県横浜市神奈川区反町3-17-5,かめさんのお店,https://scontent-nrt1-1.xx.fbcdn.net/hphotos-xpa1/t31.0-8/219295_185001964967279_518278775_o.jpg,https://scontent-nrt1-1.xx.fbcdn.net/hphotos-xat1/v/t1.0-9/11231902_686472411486896_4639072704534995904_n.jpg?oh=29c8ade6f0bac952b0171c294f266d79&oe=578290EE,35.4748895,139.626052
